Stage,Problem,AC_Count,Tag
statements-3-0,A,420,thinking
statements-3-0,B,4,string
statements-3-0,C,382,thinking
statements-3-0,D,51,thinking
statements-3-0,E,0,dp
statements-3-0,F,4,thinking
statements-3-0,G,47,dp
statements-3-0,H,34,geometry
statements-3-0,I,31,dp
statements-3-0,J,50,thinking
statements-3-0,K,1,geometry
statements-3-0,L,1,geometry
statements-3-0,M,29,dp
statements-3-1,A,145,thinking
statements-3-1,B,33,geometry
statements-3-1,C,339,thinking
statements-3-1,D,292,interactive
statements-3-1,E,22,math
statements-3-1,F,19,geometry
statements-3-1,G,100,graph
statements-3-1,H,358,thinking
statements-3-1,I,3,geometry
statements-3-1,J,272,math
statements-3-1,K,345,erase
statements-3-1,L,11,dp
statements-3-1,M,18,thiking
statements-3-1,N,150,interactive
statements-3-1,O,345,math
statements-3-2,A,53,graph
statements-3-2,B,2,tree
statements-3-2,C,57,thinking
statements-3-2,D,55,dp
statements-3-2,E,19,string
statements-3-2,F,2,thiking
statements-3-2,G,3,
statements-3-2,H,50,
statements-3-2,I,1,
statements-3-2,J,1,
statements-3-2,K,16,
statements-3-2,L,5,
statements-3-2,M,13,
statements-3-3,A,57,
statements-3-3,B,5,
statements-3-3,C,50,
statements-3-3,D,57,
statements-3-3,E,51,
statements-3-3,F,15,
statements-3-3,G,50,
statements-3-3,H,14,
statements-3-3,I,17,
statements-3-3,J,49,
statements-3-3,K,3,
statements-3-3,L,4,
statements-3-4,A,4,
statements-3-4,B,5,
statements-3-4,C,4,
statements-3-4,D,4,
statements-3-4,E,5,
statements-3-4,F,1,
statements-3-4,G,3,
statements-3-4,H,5,
statements-3-4,I,0,
statements-3-4,J,5,
statements-3-4,K,3,
statements-3-4,L,5,
statements-3-4,M,1,
statements-3-4,N,5,
statements-3-4,O,2,
statements-3-4,P,1,
statements-3-4,Q,5,
statements-3-5,A,44,
statements-3-5,B,42,
statements-3-5,C,6,
statements-3-5,D,4,
statements-3-5,E,16,
statements-3-5,F,24,
statements-3-5,G,18,
statements-3-5,H,0,
statements-3-5,I,22,
statements-3-5,J,2,
statements-3-5,K,7,
statements-3-5,L,4,
statements-3-5,M,45,
statements-3-6,A,54,
statements-3-6,B,34,
statements-3-6,C,26,
statements-3-6,D,17,
statements-3-6,E,0,
statements-3-6,F,2,
statements-3-6,G,11,
statements-3-6,H,44,
statements-3-6,I,13,
statements-3-6,J,43,
statements-3-6,K,56,
statements-3-6,L,25,
statements-3-7,A,0,
statements-3-7,B,0,
statements-3-7,C,0,
statements-3-7,D,0,
statements-3-7,E,0,
statements-3-7,F,0,
statements-3-7,G,0,
statements-3-7,H,0,
statements-3-7,I,0,
statements-3-7,J,0,
statements-3-7,K,0,
statements-3-7,L,0,
statements-3-7,M,0,
statements-3-8,A,23,
statements-3-8,B,18,
statements-3-8,C,179,
statements-3-8,D,6,
statements-3-8,E,33,
statements-3-8,F,402,
statements-3-8,G,0,
statements-3-8,H,20,
statements-3-8,I,1,
statements-3-8,J,73,
statements-3-8,K,1,
statements-3-8,L,4,
statements-3-8,M,240,
statements-3-9,A,30,
statements-3-9,B,13,
statements-3-9,C,0,
statements-3-9,D,5,
statements-3-9,E,108,
statements-3-9,F,51,
statements-3-9,G,317,
statements-3-9,H,278,
statements-3-9,I,34,
statements-3-9,J,37,
statements-3-9,K,3,
statements-3-9,L,0,
statements-3-9,M,1,
statements-3-9,N,358,
statements-3-10,A,0,
statements-3-10,B,0,
statements-3-10,C,0,
statements-3-10,D,0,
statements-3-10,E,0,
statements-3-10,F,0,
statements-3-10,G,0,
statements-3-10,H,0,
statements-3-10,I,0,
statements-3-10,J,0,
statements-3-10,K,0,
statements-3-10,L,0,
statements-3-10,M,0,
statements-3-11,A,0,
statements-3-11,B,0,
statements-3-11,C,0,
statements-3-11,D,0,
statements-3-11,E,0,
statements-3-11,F,0,
statements-3-11,G,0,
statements-3-11,H,0,
statements-3-11,I,0,
statements-3-11,J,0,
statements-3-11,K,0,
statements-3-11,L,0,
statements-3-11,M,0,
statements-3-11,N,0,
statements-3-11,O,0,
statements-3-12,A,0,
statements-3-12,B,0,
statements-3-12,C,0,
statements-3-12,D,0,
statements-3-12,E,0,
statements-3-12,F,0,
statements-3-12,G,0,
statements-3-12,H,0,
statements-3-12,I,0,
statements-3-12,J,0,
statements-3-12,K,0,
statements-3-12,L,0,
statements-3-12,M,0,
